,Away,Home,away score,home score,image1,image2
0,NC State,Marquette,37,24,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/north-carolina-st.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/marquette.svg
1,Gonzaga,Purdue,36,37,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/gonzaga.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/purdue.svg
2,Duke,Houston,0,0,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/duke.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/houston.svg
3,Creighton,Tennessee,0,0,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/creighton.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tennessee.svg
