,Away,Home,away score,home score,image1,image2
0,Colorado,Marquette,77,81,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/colorado.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/marquette.svg
1,Utah St.,Purdue,67,106,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/utah-st.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/purdue.svg
2,James Madison,Duke,55,93,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/james-madison.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/duke.svg
3,Clemson,Baylor,72,64,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/clemson.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/baylor.svg
4,Grand Canyon,Alabama,61,72,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/grand-canyon.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/alabama.svg
5,Northwestern,UConn,58,75,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/northwestern.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uconn.svg
6,Texas A&M,Houston,95,100,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-am.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/houston.svg
7,Yale,San Diego St.,57,85,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/yale.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/san-diego-st.svg
