,Away,Home,away score,home score,image1,image2
0,Dayton,Arizona,68,78,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/dayton.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/arizona.svg
1,Gonzaga,Kansas,89,68,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/gonzaga.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/kansas.svg
2,Michigan St.,North Carolina,69,85,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/michigan-st.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/north-carolina.svg
3,Washington St.,Iowa St.,56,67,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/washington-st.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/iowa-st.svg
4,Oakland,NC State,73,79,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/oakland.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/north-carolina-st.svg
5,Texas,Tennessee,58,62,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tennessee.svg
6,Duquesne,Illinois,63,89,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/duquesne.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/illinois.svg
7,Oregon,Creighton,73,86,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/oregon.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/creighton.svg
