,Away,Home,away score,home score,image1,image2
0,Clemson,Arizona,0,0,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/clemson.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/arizona.svg
1,San Diego St.,UConn,0,0,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/san-diego-st.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uconn.svg
2,Alabama,North Carolina,0,0,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/alabama.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/north-carolina.svg
3,Illinois,Iowa St.,0,0,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/illinois.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/iowa-st.svg
