,Game ID,Team,Away or Home,Score,Rank,Date,Rebounds,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Rank Diff,Score Diff,3 Pointers Made,3 Pointers Attempted,Free Throws Made,Free Throws Attempted,Field Goals Made,Field Goals Attempted,FG%,FT%,TP%,Off Score,Winner
24,6289985,Radford,1,67.0,9,03/06/2024,51,21,30,9,3,2,9,19,1.0,7.0,2.0,16.0,21.0,24.0,22.0,67.0,0.3283582089552239,0.875,0.125,60.0,1
25,6289985,USC Upstate,1,60.0,8,03/06/2024,33,7,26,14,5,7,12,16,-1.0,-7.0,5.0,22.0,9.0,19.0,23.0,54.0,0.4259259259259259,0.4736842105263157,0.2272727272727272,67.0,0
26,6289852,Eastern Illinois,1,57.0,7,03/06/2024,34,13,21,11,9,6,13,18,1.0,-11.0,4.0,19.0,7.0,10.0,23.0,61.0,0.3770491803278688,0.7,0.2105263157894736,68.0,0
27,6289852,SIU Edwardsville,1,68.0,6,03/06/2024,39,12,27,10,8,5,14,8,-1.0,11.0,6.0,19.0,12.0,15.0,25.0,56.0,0.4464285714285714,0.8,0.3157894736842105,57.0,1
28,6289729,Georgia Southern,1,76.0,9,03/07/2024,49,12,37,10,5,11,21,22,1.0,5.0,9.0,24.0,11.0,15.0,28.0,59.0,0.4745762711864407,0.7333333333333333,0.375,71.0,1
29,6289729,South Alabama,1,71.0,8,03/07/2024,32,11,21,5,10,5,8,13,-1.0,-5.0,5.0,18.0,24.0,31.0,21.0,64.0,0.328125,0.7741935483870968,0.2777777777777778,76.0,0
30,6290195,Missouri St.,1,60.0,9,03/07/2024,41,6,35,14,3,6,11,18,1.0,25.0,6.0,20.0,12.0,15.0,21.0,47.0,0.4468085106382978,0.8,0.3,35.0,1
31,6290195,Murray St.,1,35.0,8,03/07/2024,35,14,21,5,4,1,8,17,-1.0,-25.0,2.0,20.0,9.0,16.0,12.0,57.0,0.2105263157894736,0.5625,0.1,60.0,0
32,6289730,Coastal Carolina,1,66.0,13,03/07/2024,41,15,26,8,5,3,16,13,8.0,-14.0,3.0,20.0,15.0,19.0,24.0,60.0,0.4,0.7894736842105263,0.15,80.0,0
33,6289730,Louisiana,1,80.0,5,03/07/2024,32,10,22,18,11,3,8,17,-8.0,14.0,9.0,29.0,9.0,14.0,31.0,64.0,0.484375,0.6428571428571429,0.3103448275862069,66.0,1
34,6290196,Valparaiso,1,61.0,12,03/07/2024,50,21,29,10,10,5,10,15,7.0,-25.0,6.0,33.0,11.0,17.0,22.0,80.0,0.275,0.6470588235294118,0.1818181818181818,86.0,0
35,6290196,Belmont,1,86.0,5,03/07/2024,44,5,39,24,9,4,11,15,-7.0,25.0,10.0,28.0,10.0,17.0,33.0,63.0,0.5238095238095238,0.5882352941176471,0.3571428571428571,61.0,1
36,6290187,Pacific,1,43.0,9,03/07/2024,26,8,18,10,5,2,16,15,1.0,-59.0,5.0,23.0,10.0,17.0,14.0,56.0,0.25,0.5882352941176471,0.217391304347826,102.0,0
37,6290187,Pepperdine,1,102.0,8,03/07/2024,50,13,37,28,7,2,11,16,-1.0,59.0,7.0,19.0,17.0,24.0,39.0,65.0,0.6,0.7083333333333334,0.3684210526315789,43.0,1
38,6289731,Texas St.,1,75.0,11,03/07/2024,44,15,29,8,9,1,15,16,5.0,16.0,2.0,7.0,21.0,27.0,26.0,56.0,0.4642857142857143,0.7777777777777778,0.2857142857142857,59.0,1
39,6289731,Southern Miss,1,59.0,6,03/07/2024,27,9,18,12,8,6,15,19,-5.0,-16.0,4.0,16.0,11.0,19.0,22.0,54.0,0.4074074074074074,0.5789473684210527,0.25,75.0,0
40,6290139,Purdue Ft. Wayne,1,65.0,8,03/07/2024,30,8,22,18,5,3,15,15,7.0,-10.0,12.0,32.0,7.0,9.0,23.0,60.0,0.3833333333333333,0.7777777777777778,0.375,75.0,0
41,6290139,Oakland,1,75.0,1,03/07/2024,34,4,30,14,10,8,12,14,-7.0,10.0,6.0,18.0,15.0,16.0,27.0,53.0,0.5094339622641509,0.9375,0.3333333333333333,65.0,1
42,6290140,Cleveland St.,1,82.0,7,03/07/2024,38,12,26,13,5,2,8,16,5.0,12.0,8.0,16.0,16.0,27.0,29.0,60.0,0.4833333333333333,0.5925925925925926,0.5,70.0,1
43,6290140,Youngstown St.,1,70.0,2,03/07/2024,32,9,23,12,4,4,11,20,-5.0,-12.0,5.0,31.0,11.0,15.0,27.0,61.0,0.4426229508196721,0.7333333333333333,0.1612903225806451,82.0,0
44,6290145,Holy Cross,1,64.0,9,03/07/2024,26,4,22,11,3,3,12,17,8.0,-17.0,7.0,24.0,7.0,11.0,25.0,52.0,0.4807692307692308,0.6363636363636364,0.2916666666666667,81.0,0
45,6290145,Colgate,1,81.0,1,03/07/2024,28,3,25,19,8,3,6,8,-8.0,17.0,8.0,17.0,15.0,22.0,29.0,51.0,0.5686274509803921,0.6818181818181818,0.4705882352941176,64.0,1
46,6290146,Lehigh,1,76.0,6,03/07/2024,39,5,34,24,10,2,18,16,3.0,15.0,13.0,20.0,7.0,9.0,28.0,52.0,0.5384615384615384,0.7777777777777778,0.65,61.0,1
47,6290146,Lafayette,1,61.0,3,03/07/2024,29,9,20,16,13,5,10,13,-3.0,-15.0,6.0,25.0,7.0,15.0,24.0,62.0,0.3870967741935484,0.4666666666666667,0.24,76.0,0
48,6290147,Navy,1,61.0,7,03/07/2024,40,16,24,11,5,3,10,14,5.0,-9.0,4.0,24.0,13.0,16.0,22.0,61.0,0.360655737704918,0.8125,0.1666666666666666,70.0,0
49,6290147,Boston U,1,70.0,2,03/07/2024,39,14,25,15,5,6,10,17,-5.0,9.0,7.0,24.0,13.0,15.0,25.0,61.0,0.4098360655737705,0.8666666666666667,0.2916666666666667,61.0,1
50,6290148,Bucknell,1,80.0,5,03/07/2024,34,12,22,11,7,1,3,20,1.0,23.0,9.0,25.0,17.0,22.0,27.0,58.0,0.4655172413793103,0.7727272727272727,0.36,57.0,1
51,6290148,American,1,57.0,4,03/07/2024,33,10,23,9,0,4,11,20,-1.0,-23.0,6.0,25.0,19.0,24.0,16.0,47.0,0.3404255319148936,0.7916666666666666,0.24,80.0,0
52,6290197,Evansville,1,59.0,10,03/07/2024,38,14,24,12,7,1,6,17,3.0,6.0,7.0,31.0,14.0,18.0,19.0,59.0,0.3220338983050847,0.7777777777777778,0.2258064516129032,53.0,1
53,6290197,Illinois St.,1,53.0,7,03/07/2024,36,10,26,13,4,5,12,18,-3.0,-6.0,5.0,21.0,12.0,18.0,18.0,48.0,0.375,0.6666666666666666,0.238095238095238,59.0,0
54,6290804,Jacksonville,1,87.0,10,03/07/2024,36,15,21,10,4,0,9,21,8.0,-1.0,7.0,18.0,24.0,32.0,28.0,55.0,0.509090909090909,0.75,0.3888888888888889,88.0,0
55,6290804,Stetson,1,88.0,2,03/07/2024,18,4,14,15,6,5,6,23,-8.0,1.0,13.0,22.0,17.0,26.0,29.0,50.0,0.58,0.6538461538461539,0.5909090909090909,87.0,1
56,6289850,Tennessee St.,1,59.0,5,03/07/2024,36,13,23,12,15,7,12,25,1.0,-2.0,5.0,18.0,8.0,11.0,23.0,68.0,0.3382352941176471,0.7272727272727273,0.2777777777777778,61.0,0
57,6289850,Western Illinois,1,61.0,4,03/07/2024,52,19,33,12,4,8,19,13,-1.0,2.0,3.0,17.0,16.0,29.0,21.0,56.0,0.375,0.5517241379310345,0.1764705882352941,59.0,1
58,6290142,N Kentucky,1,99.0,5,03/07/2024,34,8,26,13,7,1,14,19,1.0,2.0,9.0,21.0,18.0,24.0,36.0,67.0,0.5373134328358209,0.75,0.4285714285714285,97.0,1
59,6290142,Wright St.,1,97.0,4,03/07/2024,40,14,26,17,10,3,14,18,-1.0,-2.0,8.0,21.0,15.0,21.0,37.0,72.0,0.5138888888888888,0.7142857142857143,0.3809523809523809,99.0,0
60,6290805,North Alabama,1,71.0,6,03/07/2024,28,7,21,10,5,1,5,15,2.0,-6.0,5.0,12.0,16.0,22.0,25.0,54.0,0.4629629629629629,0.7272727272727273,0.4166666666666667,77.0,0
61,6290805,Austin Peay,1,77.0,4,03/07/2024,31,6,25,9,1,3,8,16,-2.0,6.0,4.0,10.0,21.0,24.0,26.0,51.0,0.5098039215686274,0.875,0.4,71.0,1
62,6290141,Milwaukee,1,95.0,6,03/07/2024,39,7,32,14,3,4,8,23,3.0,11.0,4.0,14.0,27.0,35.0,32.0,61.0,0.5245901639344263,0.7714285714285715,0.2857142857142857,84.0,1
63,6290141,Green Bay,1,84.0,3,03/07/2024,35,10,25,14,2,3,10,25,-3.0,-11.0,8.0,31.0,18.0,25.0,29.0,68.0,0.4264705882352941,0.72,0.2580645161290322,95.0,0
64,6290198,Illinois-Chicago,1,84.0,11,03/07/2024,42,9,33,16,6,3,10,20,5.0,2.0,7.0,20.0,9.0,16.0,34.0,69.0,0.4927536231884058,0.5625,0.35,82.0,1
65,6290198,Southern Ill.,1,82.0,6,03/07/2024,40,10,30,16,5,3,7,16,-5.0,-2.0,13.0,35.0,17.0,25.0,26.0,69.0,0.3768115942028985,0.68,0.3714285714285714,84.0,0
66,6289851,SIU Edwardsville,1,63.0,6,03/07/2024,36,11,25,5,4,2,14,21,3.0,-15.0,5.0,19.0,16.0,18.0,21.0,58.0,0.3620689655172414,0.8888888888888888,0.2631578947368421,78.0,0
67,6289851,Morehead St.,1,78.0,3,03/07/2024,34,8,26,12,5,4,9,20,-3.0,15.0,10.0,30.0,14.0,23.0,27.0,54.0,0.5,0.6086956521739131,0.3333333333333333,63.0,1
68,6290191,Missouri St.,1,59.0,9,03/08/2024,39,12,27,11,6,7,13,14,8.0,-16.0,3.0,14.0,14.0,18.0,21.0,61.0,0.3442622950819672,0.7777777777777778,0.2142857142857142,75.0,0
69,6290191,Indiana St.,1,75.0,1,03/08/2024,36,7,29,23,7,3,10,16,-8.0,16.0,10.0,30.0,9.0,11.0,28.0,63.0,0.4444444444444444,0.8181818181818182,0.3333333333333333,59.0,1
70,6289982,Longwood,1,69.0,5,03/08/2024,35,12,23,8,8,1,7,13,1.0,13.0,7.0,19.0,16.0,18.0,23.0,58.0,0.396551724137931,0.8888888888888888,0.3684210526315789,56.0,1
71,6289982,Winthrop,1,56.0,4,03/08/2024,30,6,24,15,5,6,14,18,-1.0,-13.0,9.0,26.0,5.0,7.0,21.0,49.0,0.4285714285714285,0.7142857142857143,0.3461538461538461,69.0,0
72,6290088,William & Mary,1,79.0,13,03/08/2024,44,14,30,12,4,2,4,12,1.0,17.0,11.0,33.0,14.0,23.0,27.0,66.0,0.4090909090909091,0.6086956521739131,0.3333333333333333,62.0,1
73,6290088,NC A&T,1,62.0,12,03/08/2024,41,12,29,8,2,6,6,19,-1.0,-17.0,3.0,19.0,7.0,11.0,26.0,66.0,0.3939393939393939,0.6363636363636364,0.1578947368421052,79.0,0
