,Game ID,Team,Away or Home,Score,Rank,Date,Field Goals,3 Pointers,Free Throws,Rebounds,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Rank Diff,Score Diff,Win,Cumulative Avg Points,Cumulative Field Goals Avg,Cumulative 3 Pointers Avg,Cumulative Free Throws Avg
26,6289852,Eastern Illinois,Away team,57.0,7,6,0.3770491803278688,0.21052631578947367,0.7,34,13,21,11,9,6,13,18,1,-11.0,0,57.0,0.3770491803278688,0.21052631578947367,0.7
27,6289852,SIU Edwardsville,Home team,68.0,6,6,0.44642857142857145,0.3157894736842105,0.8,39,12,27,10,8,5,14,8,-1,11.0,1,68.0,0.44642857142857145,0.3157894736842105,0.8
28,6289729,Georgia Southern,Away team,76.0,9,7,0.4745762711864407,0.375,0.7333333333333333,49,12,37,10,5,11,21,22,1,5.0,1,76.0,0.4745762711864407,0.375,0.7333333333333333
29,6289729,South Alabama,Home team,71.0,8,7,0.328125,0.2777777777777778,0.7741935483870968,32,11,21,5,10,5,8,13,-1,-5.0,0,71.0,0.328125,0.2777777777777778,0.7741935483870968
30,6290195,Missouri St.,Away team,60.0,9,7,0.44680851063829785,0.3,0.8,41,6,35,14,3,6,11,18,1,25.0,1,60.0,0.44680851063829785,0.3,0.8
31,6290195,Murray St.,Home team,35.0,8,7,0.21052631578947367,0.1,0.5625,35,14,21,5,4,1,8,17,-1,-25.0,0,35.0,0.21052631578947367,0.1,0.5625
32,6289730,Coastal Carolina,Away team,66.0,13,7,0.4,0.15,0.7894736842105263,41,15,26,8,5,3,16,13,8,-14.0,0,66.0,0.4,0.15,0.7894736842105263
33,6289730,Louisiana,Home team,80.0,5,7,0.484375,0.3103448275862069,0.6428571428571429,32,10,22,18,11,3,8,17,-8,14.0,1,80.0,0.484375,0.3103448275862069,0.6428571428571429
34,6290196,Valparaiso,Away team,61.0,12,7,0.275,0.18181818181818182,0.6470588235294118,50,21,29,10,10,5,10,15,7,-25.0,0,61.0,0.275,0.18181818181818182,0.6470588235294118
35,6290196,Belmont,Home team,86.0,5,7,0.5238095238095238,0.35714285714285715,0.5882352941176471,44,5,39,24,9,4,11,15,-7,25.0,1,86.0,0.5238095238095238,0.35714285714285715,0.5882352941176471
36,6290187,Pacific,Away team,43.0,9,7,0.25,0.21739130434782608,0.5882352941176471,26,8,18,10,5,2,16,15,1,-59.0,0,43.0,0.25,0.21739130434782608,0.5882352941176471
